    Updating crates.io index
  Downloaded thread_local v1.1.9
  Downloaded thiserror-impl v2.0.18
  Downloaded thiserror-impl v1.0.69
  Downloaded thiserror v2.0.18
  Downloaded thiserror v1.0.69
  Downloaded sha2 v0.11.0
  Downloaded sha2 v0.10.9
  Downloaded sha1 v0.10.6
  Downloaded serde_spanned v1.1.1
  Downloaded serde_repr v0.1.20
  Downloaded serde_path_to_error v0.1.20
  Downloaded serde_derive v1.0.228
  Downloaded serde_core v1.0.228
  Downloaded semver v1.0.28
  Downloaded seahash v4.1.0
  Downloaded ratatui-core v0.1.0
  Downloaded ratatui v0.30.0
  Downloaded rand v0.8.6
  Downloaded portable-atomic v1.13.1
  Downloaded pest_meta v2.8.6
  Downloaded pest v2.8.6
  Downloaded nom v7.1.3
  Downloaded nix v0.29.0
  Downloaded tinyvec_macros v0.1.1
  Downloaded sha1_smol v1.0.1
  Downloaded serde_with_macros v3.18.0
  Downloaded serde_urlencoded v0.7.1
  Downloaded scopeguard v1.2.0
  Downloaded scoped-tls v1.0.1
  Downloaded scoped-futures v0.1.4
  Downloaded rapidhash v4.4.1
  Downloaded rand_xorshift v0.4.0
  Downloaded rand_core v0.10.1
  Downloaded rand_core v0.6.4
  Downloaded rand_chacha v0.9.0
  Downloaded quote v1.0.45
  Downloaded quinn-udp v0.5.14
  Downloaded quick-error v1.2.3
  Downloaded prost-types v0.14.3
  Downloaded prost-derive v0.14.3
  Downloaded prost v0.14.3
  Downloaded proc-macro2-diagnostics v0.10.1
  Downloaded proc-macro2 v1.0.106
  Downloaded proc-macro-error2 v2.0.1
  Downloaded proc-macro-error-attr2 v2.0.0
  Downloaded pq-sys v0.7.5
  Downloaded ppv-lite86 v0.2.21
  Downloaded powerfmt v0.2.0
  Downloaded potential_utf v0.1.5
  Downloaded postgres-types v0.2.13
  Downloaded postgres-protocol v0.6.11
  Downloaded plotters-svg v0.3.7
  Downloaded plotters-backend v0.3.7
  Downloaded pkg-config v0.3.33
  Downloaded pin-project-lite v0.2.17
  Downloaded pin-project-internal v1.1.11
  Downloaded pin-project v1.1.11
  Downloaded phf_shared v0.13.1
  Downloaded phf_shared v0.12.1
  Downloaded phf_shared v0.11.3
  Downloaded phf_macros v0.11.3
  Downloaded phf_codegen v0.11.3
  Downloaded num-bigint v0.4.6
  Downloaded moka v0.12.15
  Downloaded mio v1.2.0
  Downloaded minimal-lexical v0.2.1
  Downloaded libc v0.2.186
  Downloaded deltae v0.3.2
  Downloaded phf_generator v0.11.3
  Downloaded phf v0.13.1
  Downloaded phf v0.12.1
  Downloaded pest_generator v2.8.6
  Downloaded parse-display v0.9.1
  Downloaded parking_lot v0.12.5
  Downloaded openssl-probe v0.2.1
  Downloaded num-traits v0.2.19
  Downloaded num-rational v0.4.2
  Downloaded itertools v0.14.0
  Downloaded itertools v0.13.0
  Downloaded iri-string v0.7.12
  Downloaded idna v1.1.0
  Downloaded icu_properties_data v2.2.0
  Downloaded hyper v1.9.0
  Downloaded hashbrown v0.17.0
  Downloaded hashbrown v0.16.1
  Downloaded h2 v0.4.13
  Downloaded futures-util v0.3.32
  Downloaded bollard-stubs v1.52.1-rc.29.1.3
  Downloaded pest_derive v2.8.6
  Downloaded percent-encoding v2.3.2
  Downloaded parse-display-derive v0.9.1
  Downloaded parking_lot_core v0.9.12
  Downloaded ordered-float v4.6.0
  Downloaded oorandom v11.1.5
  Downloaded once_cell v1.21.4
  Downloaded num_threads v0.1.7
  Downloaded num_cpus v1.17.0
  Downloaded num-iter v0.1.45
  Downloaded num-integer v0.1.46
  Downloaded num-derive v0.4.2
  Downloaded num-conv v0.2.1
  Downloaded num-complex v0.4.6
  Downloaded mime_guess v2.0.5
  Downloaded mime v0.3.17
  Downloaded metrics v0.24.5
  Downloaded memoffset v0.9.1
  Downloaded memchr v2.8.0
  Downloaded md-5 v0.11.0
  Downloaded loom v0.7.2
  Downloaded itertools v0.10.5
  Downloaded indexmap v2.14.0
  Downloaded indexmap v1.9.3
  Downloaded icu_provider v2.2.0
  Downloaded icu_properties v2.2.0
  Downloaded icu_normalizer_data v2.2.0
  Downloaded icu_normalizer v2.2.0
  Downloaded icu_locale_core v2.2.0
  Downloaded icu_collections v2.2.0
  Downloaded hyper-util v0.1.20
  Downloaded http v1.4.0
  Downloaded hashbrown v0.12.3
  Downloaded half v2.7.1
  Downloaded getrandom v0.4.2
  Downloaded getrandom v0.3.4
  Downloaded getrandom v0.2.17
  Downloaded futures v0.3.32
  Downloaded finl_unicode v1.4.0
  Downloaded ferroid v2.0.0
  Downloaded euclid v0.22.14
  Downloaded diesel_derives v2.3.9
  Downloaded diesel-async v0.8.0
  Downloaded diesel v2.3.9
  Downloaded darling_core v0.23.0
  Downloaded darling_core v0.20.11
  Downloaded crossterm v0.29.0
  Downloaded compact_str v0.9.0
  Downloaded chrono-tz v0.10.4
  Downloaded autumn-web v0.2.0
  Downloaded migrations_internals v2.3.0
  Downloaded maud v0.27.0
  Downloaded lru v0.16.4
  Downloaded log v0.4.29
  Downloaded litrs v1.0.0
  Downloaded litemap v0.8.2
  Downloaded itoa v1.0.18
  Downloaded ipnet v2.12.0
  Downloaded inout v0.1.4
  Downloaded iana-time-zone v0.1.65
  Downloaded hyper-timeout v0.5.2
  Downloaded hyper-rustls v0.27.9
  Downloaded hybrid-array v0.4.11
  Downloaded httparse v1.10.1
  Downloaded http-body-util v0.1.3
  Downloaded hmac v0.13.0
  Downloaded generator v0.8.8
  Downloaded futures-executor v0.3.32
  Downloaded futures-channel v0.3.32
  Downloaded foldhash v0.2.0
  Downloaded find-msvc-tools v0.1.9
  Downloaded filetime v0.2.27
  Downloaded fastrand v2.4.1
  Downloaded fancy-regex v0.11.0
  Downloaded either v1.15.0
  Downloaded docker_credential v1.3.2
  Downloaded displaydoc v0.2.5
  Downloaded digest v0.11.2
  Downloaded digest v0.10.7
  Downloaded derive_builder v0.20.2
  Downloaded deadpool v0.13.0
  Downloaded darling_macro v0.21.3
  Downloaded darling_core v0.21.3
  Downloaded crypto-common v0.2.1
  Downloaded croner v2.2.0
  Downloaded const-oid v0.10.2
  Downloaded cmov v0.5.3
  Downloaded clap_derive v4.6.1
  Downloaded clap_builder v4.6.0
  Downloaded ciborium-io v0.2.2
  Downloaded chrono v0.4.44
  Downloaded cfg-if v1.0.4
  Downloaded cc v1.2.61
  Downloaded castaway v0.2.4
  Downloaded cast v0.3.0
  Downloaded bytes v1.11.1
  Downloaded migrations_macros v2.3.0
  Downloaded memmem v0.1.1
  Downloaded maud_macros v0.27.0
  Downloaded matchit v0.8.4
  Downloaded matchers v0.2.0
  Downloaded mac_address v1.1.8
  Downloaded lru-slab v0.1.2
  Downloaded lock_api v0.4.14
  Downloaded line-clipping v0.3.7
  Downloaded lazy_static v1.5.0
  Downloaded lab v0.11.0
  Downloaded kasuari v0.4.12
  Downloaded is_terminal_polyfill v1.70.2
  Downloaded is-terminal v0.4.17
  Downloaded instability v0.3.12
  Downloaded indoc v2.0.7
  Downloaded idna_adapter v1.2.2
  Downloaded ident_case v1.0.1
  Downloaded hyperlocal v0.9.1
  Downloaded httpdate v1.0.3
  Downloaded hex v0.4.3
  Downloaded futures-sink v0.3.32
  Downloaded futures-core v0.3.32
  Downloaded equivalent v1.0.2
  Downloaded dyn-clone v1.0.20
  Downloaded dsl_auto_type v0.2.0
  Downloaded document-features v0.2.12
  Downloaded diesel_table_macro_syntax v0.3.0
  Downloaded derive_more-impl v2.1.1
  Downloaded derive_more v2.1.1
  Downloaded derive_builder_core v0.20.2
  Downloaded darling v0.23.0
  Downloaded darling v0.21.3
  Downloaded ctutils v0.4.2
  Downloaded crossbeam-epoch v0.9.18
  Downloaded crossbeam-deque v0.8.6
  Downloaded crossbeam-channel v0.5.15
  Downloaded croner v3.0.1
  Downloaded criterion v0.5.1
  Downloaded cpufeatures v0.2.17
  Downloaded convert_case v0.10.0
  Downloaded combine v4.6.7
  Downloaded clap v4.6.1
  Downloaded cipher v0.4.4
  Downloaded ciborium v0.2.2
  Downloaded chacha20 v0.10.0
  Downloaded byteorder v1.5.0
  Downloaded bytemuck v1.25.0
  Downloaded bollard-buildkit-proto v0.7.0
  Downloaded bollard v0.20.2
  Downloaded blowfish v0.9.1
  Downloaded base64 v0.22.1
  Downloaded base64 v0.21.7
  Downloaded axum v0.8.9
  Downloaded arc-swap v1.9.1
  Downloaded anes v0.1.6
  Downloaded aho-corasick v1.1.4
  Downloaded http-body v1.0.1
  Downloaded home v0.5.12
  Downloaded heck v0.5.0
  Downloaded generic-array v0.14.7
  Downloaded futures-macro v0.3.32
  Downloaded futures-io v0.3.32
  Downloaded form_urlencoded v1.2.2
  Downloaded etcetera v0.11.0
  Downloaded errno v0.3.14
  Downloaded downcast-rs v2.0.2
  Downloaded diesel_migrations v2.3.2
  Downloaded derive_builder_macro v0.20.2
  Downloaded deranged v0.5.8
  Downloaded deadpool-runtime v0.3.1
  Downloaded data-encoding v2.11.0
  Downloaded darling_macro v0.23.0
  Downloaded darling_macro v0.20.11
  Downloaded darling v0.20.11
  Downloaded csscolorparser v0.6.2
  Downloaded crypto-common v0.1.7
  Downloaded crossbeam-utils v0.8.21
  Downloaded criterion-plot v0.5.0
  Downloaded cpufeatures v0.3.0
  Downloaded clap_lex v1.1.0
  Downloaded ciborium-ll v0.2.2
  Downloaded block-buffer v0.12.0
  Downloaded bitflags v1.3.2
  Downloaded bit-vec v0.8.0
  Downloaded bit-vec v0.6.3
  Downloaded bit-set v0.8.0
  Downloaded axum-macros v0.5.1
  Downloaded axum-core v0.5.6
  Downloaded autumn-macros v0.2.0
  Downloaded atomic-waker v1.1.2
  Downloaded async-trait v0.1.89
  Downloaded astral-tokio-tar v0.6.1
  Downloaded anyhow v1.0.102
  Downloaded anstyle v1.0.14
  Downloaded fnv v1.0.7
  Downloaded fixedbitset v0.4.2
  Downloaded filedescriptor v0.8.3
  Downloaded colorchoice v1.0.5
  Downloaded cfg_aliases v0.2.1
  Downloaded bitflags v2.11.1
  Downloaded autocfg v1.5.0
  Downloaded anstream v1.0.0
  Downloaded block-buffer v0.10.4
  Downloaded backon v1.6.0
  Downloaded anstyle-query v1.1.5
  Downloaded allocator-api2 v0.2.21
  Downloaded atomic v0.6.1
  Downloaded async-stream v0.3.6
   Compiling proc-macro2 v1.0.106
   Compiling quote v1.0.45
   Compiling unicode-ident v1.0.24
   Compiling libc v0.2.186
    Checking cfg-if v1.0.4
    Checking log v0.4.29
   Compiling serde_core v1.0.228
    Checking itoa v1.0.18
    Checking smallvec v1.15.1
    Checking bytes v1.11.1
    Checking pin-project-lite v0.2.17
   Compiling syn v2.0.117
    Checking memchr v2.8.0
   Compiling parking_lot_core v0.9.12
    Checking errno v0.3.14
    Checking scopeguard v1.2.0
    Checking lock_api v0.4.14
    Checking signal-hook-registry v1.4.8
    Checking mio v1.2.0
    Checking parking_lot v0.12.5
    Checking futures-core v0.3.32
    Checking once_cell v1.21.4
    Checking socket2 v0.6.3
   Compiling find-msvc-tools v0.1.9
   Compiling shlex v1.3.0
   Compiling serde v1.0.228
   Compiling cc v1.2.61
   Compiling strsim v0.11.1
    Checking typenum v1.20.0
   Compiling ident_case v1.0.1
    Checking futures-sink v0.3.32
    Checking futures-channel v0.3.32
    Checking slab v0.4.12
    Checking futures-task v0.3.32
    Checking futures-io v0.3.32
    Checking equivalent v1.0.2
    Checking tracing-core v0.1.36
   Compiling autocfg v1.5.0
    Checking http v1.4.0
   Compiling num-traits v0.2.19
    Checking percent-encoding v2.3.2
   Compiling zmij v1.0.21
    Checking bitflags v2.11.1
    Checking base64 v0.22.1
   Compiling serde_json v1.0.149
   Compiling httparse v1.10.1
   Compiling getrandom v0.4.2
    Checking rand_core v0.10.1
   Compiling thiserror v2.0.18
    Checking stable_deref_trait v1.2.1
   Compiling fnv v1.0.7
   Compiling synstructure v0.13.2
    Checking http-body v1.0.1
   Compiling heck v0.5.0
    Checking hashbrown v0.17.0
   Compiling rustversion v1.0.22
    Checking ryu v1.0.23
    Checking tower-service v0.3.3
   Compiling version_check v0.9.5
   Compiling either v1.15.0
    Checking indexmap v2.14.0
    Checking try-lock v0.2.5
    Checking httpdate v1.0.3
    Checking zeroize v1.8.2
    Checking atomic-waker v1.1.2
    Checking want v0.3.1
    Checking http-body-util v0.1.3
   Compiling serde_derive v1.0.228
   Compiling tokio-macros v2.7.0
   Compiling futures-macro v0.3.32
   Compiling tracing-attributes v0.1.31
    Checking tokio v1.52.1
    Checking futures-util v0.3.32
    Checking tracing v0.1.44
   Compiling zerofrom-derive v0.1.7
    Checking zerofrom v0.1.7
   Compiling yoke-derive v0.8.2
   Compiling thiserror-impl v2.0.18
   Compiling zerovec-derive v0.11.3
    Checking yoke v0.8.2
   Compiling displaydoc v0.2.5
    Checking form_urlencoded v1.2.2
    Checking zerovec v0.11.6
    Checking sync_wrapper v1.0.2
    Checking writeable v0.6.3
    Checking mime v0.3.17
    Checking tower-layer v0.3.3
    Checking ipnet v2.12.0
    Checking tokio-util v0.7.18
    Checking litemap v0.8.2
    Checking zerotrie v0.2.4
    Checking tinystr v0.8.3
    Checking potential_utf v0.1.5
   Compiling icu_properties_data v2.2.0
    Checking icu_locale_core v2.2.0
   Compiling icu_normalizer_data v2.2.0
    Checking utf8_iter v1.0.4
    Checking icu_collections v2.2.0
   Compiling async-trait v0.1.89
    Checking h2 v0.4.13
    Checking hybrid-array v0.4.11
    Checking icu_provider v2.2.0
    Checking cpufeatures v0.3.0
    Checking subtle v2.6.1
    Checking tower v0.5.3
   Compiling generic-array v0.14.7
    Checking cmov v0.5.3
   Compiling zerocopy v0.8.48
   Compiling pkg-config v0.3.33
    Checking ctutils v0.4.2
    Checking icu_properties v2.2.0
    Checking icu_normalizer v2.2.0
    Checking crypto-common v0.2.1
    Checking block-buffer v0.12.0
    Checking chacha20 v0.10.0
    Checking serde_urlencoded v0.7.1
   Compiling zerocopy-derive v0.8.48
    Checking iana-time-zone v0.1.65
    Checking const-oid v0.10.2
    Checking siphasher v1.0.2
    Checking byteorder v1.5.0
    Checking digest v0.11.2
    Checking idna_adapter v1.2.2
    Checking chrono v0.4.44
    Checking rand v0.10.1
    Checking hyper v1.9.0
   Compiling darling_core v0.21.3
    Checking hyper-util v0.1.20
   Compiling pq-src v0.3.11+libpq-18.3
    Checking allocator-api2 v0.2.21
    Checking tinyvec_macros v0.1.1
    Checking foldhash v0.2.0
    Checking sha1_smol v1.0.1
    Checking hashbrown v0.16.1
    Checking tinyvec v1.11.0
   Compiling darling_macro v0.21.3
    Checking idna v1.1.0
   Compiling vcpkg v0.2.15
   Compiling getrandom v0.3.4
    Checking url v2.5.8
    Checking unicode-normalization v0.1.25
   Compiling libsqlite3-sys v0.36.0
   Compiling darling v0.21.3
    Checking uuid v1.23.1
   Compiling pq-sys v0.7.5
    Checking futures-executor v0.3.32
   Compiling ring v0.17.14
    Checking winnow v1.0.2
    Checking unicode-properties v0.1.4
   Compiling diesel_derives v2.3.9
    Checking unicode-bidi v0.3.18
    Checking stringprep v0.1.5
   Compiling toml_parser v1.1.2+spec-1.1.0
    Checking futures v0.3.32
   Compiling dsl_auto_type v0.2.0
    Checking lru v0.16.4
   Compiling toml_datetime v0.7.5+spec-1.1.0
   Compiling serde_spanned v1.1.1
    Checking crypto-common v0.1.7
    Checking hmac v0.13.0
    Checking md-5 v0.11.0
    Checking sha2 v0.11.0
    Checking rustls-pki-types v1.14.1
   Compiling diesel_table_macro_syntax v0.3.0
   Compiling winnow v0.7.15
    Checking fallible-iterator v0.2.0
    Checking postgres-protocol v0.6.11
   Compiling toml v0.9.12+spec-1.1.0
    Checking rand_core v0.9.5
    Checking phf_shared v0.13.1
    Checking getrandom v0.2.17
   Compiling rustix v1.1.4
    Checking untrusted v0.9.0
    Checking downcast-rs v2.0.2
    Checking phf v0.13.1
   Compiling migrations_internals v2.3.0
    Checking postgres-types v0.2.13
    Checking ppv-lite86 v0.2.21
    Checking deadpool-runtime v0.3.1
   Compiling darling_core v0.23.0
    Checking whoami v2.1.2
    Checking num_cpus v1.17.0
    Checking linux-raw-sys v0.12.1
   Compiling rustls v0.23.40
    Checking tokio-postgres v0.7.17
    Checking diesel v2.3.9
    Checking deadpool v0.13.0
    Checking rand_chacha v0.9.0
   Compiling migrations_macros v2.3.0
    Checking rustls-webpki v0.103.13
    Checking block-buffer v0.10.4
    Checking scoped-futures v0.1.4
    Checking digest v0.10.7
    Checking rand v0.9.4
   Compiling darling_macro v0.23.0
   Compiling darling v0.23.0
    Checking rapidhash v4.4.1
    Checking powerfmt v0.2.0
    Checking cpufeatures v0.2.17
    Checking regex-syntax v0.8.10
    Checking deranged v0.5.8
    Checking sha1 v0.10.6
    Checking metrics v0.24.5
    Checking itertools v0.14.0
    Checking croner v2.2.0
   Compiling autumn-harvest-macros v0.3.0 (/app/autumn-harvest-macros)
    Checking aho-corasick v1.1.4
    Checking seahash v4.1.0
    Checking time-core v0.1.8
    Checking num_threads v0.1.7
    Checking num-conv v0.2.1
    Checking data-encoding v2.11.0
    Checking time v0.3.47
    Checking regex-automata v0.4.14
    Checking tungstenite v0.29.0
    Checking axum-core v0.5.6
    Checking tokio-tungstenite v0.29.0
   Compiling axum-macros v0.5.1
    Checking serde_path_to_error v0.1.20
    Checking matchit v0.8.4
    Checking tokio-rustls v0.26.4
    Checking webpki-roots v1.0.7
   Compiling portable-atomic v1.13.1
    Checking hyper-rustls v0.27.9
   Compiling crossbeam-utils v0.8.21
    Checking regex v1.12.3
   Compiling anyhow v1.0.102
    Checking axum v0.8.9
    Checking crossbeam-epoch v0.9.18
    Checking tokio-stream v0.1.18
   Compiling pin-project-internal v1.1.11
   Compiling prost-derive v0.14.3
    Checking num-integer v0.1.46
    Checking lazy_static v1.5.0
    Checking sharded-slab v0.1.7
    Checking pin-project v1.1.11
    Checking matchers v0.2.0
    Checking hyper-timeout v0.5.2
    Checking tracing-serde v0.2.0
    Checking tracing-log v0.2.0
    Checking thread_local v1.1.9
    Checking nu-ansi-term v0.50.3
    Checking prost v0.14.3
    Checking tracing-subscriber v0.3.23
    Checking tonic v0.14.5
    Checking num-bigint v0.4.6
    Checking ureq-proto v0.6.0
   Compiling bollard-buildkit-proto v0.7.0
    Checking utf8-zero v0.8.1
    Checking ureq v3.3.0
    Checking tonic-prost v0.14.5
    Checking prost-types v0.14.3
   Compiling structmeta-derive v0.3.0
   Compiling structmeta v0.3.0
    Checking num-rational v0.4.2
    Checking num-iter v0.1.45
   Compiling async-stream-impl v0.3.6
   Compiling serde_repr v0.1.20
    Checking num-complex v0.4.6
    Checking openssl-probe v0.2.1
    Checking hex v0.4.3
    Checking hyperlocal v0.9.1
    Checking rustls-native-certs v0.8.3
    Checking num v0.4.3
    Checking bollard-stubs v1.52.1-rc.29.1.3
    Checking async-stream v0.3.6
   Compiling serde_with_macros v3.18.0
   Compiling parse-display-derive v0.9.1
    Checking xattr v1.6.1
    Checking filetime v0.2.27
    Checking base64 v0.21.7
    Checking home v0.5.12
    Checking rustc-hash v2.1.2
    Checking astral-tokio-tar v0.6.1
    Checking parse-display v0.9.1
    Checking docker_credential v1.3.2
    Checking serde_with v3.18.0
    Checking diesel_migrations v2.3.2
    Checking diesel-async v0.8.0
    Checking ferroid v2.0.0
    Checking etcetera v0.11.0
    Checking utf8parse v0.2.2
    Checking anstyle-parse v1.0.0
    Checking anstyle v1.0.14
    Checking colorchoice v1.0.5
    Checking is_terminal_polyfill v1.70.2
    Checking autumn-harvest v0.3.0 (/app/autumn-harvest)
    Checking anstyle-query v1.1.5
    Checking anstream v1.0.0
    Checking clap_lex v1.1.0
    Checking clap_builder v4.6.0
   Compiling clap_derive v4.6.1
   Compiling strum_macros v0.27.2
    Checking clap v4.6.1
    Checking fastrand v2.4.1
   Compiling unicase v2.9.0
   Compiling mime_guess v2.0.5
   Compiling rayon-core v1.13.0
    Checking crossbeam-deque v0.8.6
    Checking half v2.7.1
   Compiling generator v0.8.8
    Checking ciborium-io v0.2.2
    Checking plotters-backend v0.3.7
    Checking strum v0.27.2
    Checking http-range-header v0.4.2
    Checking iri-string v0.7.12
    Checking plotters-svg v0.3.7
    Checking ciborium-ll v0.2.2
    Checking tempfile v3.27.0
    Checking itertools v0.10.5
    Checking tower-http v0.6.8
    Checking wait-timeout v0.2.1
    Checking same-file v1.0.6
    Checking cast v0.3.0
    Checking quick-error v1.2.3
    Checking bit-vec v0.8.0
    Checking bit-set v0.8.0
    Checking bollard v0.20.2
    Checking rusty-fork v0.3.1
    Checking criterion-plot v0.5.0
    Checking walkdir v2.5.0
    Checking rayon v1.12.0
    Checking ciborium v0.2.2
    Checking plotters v0.3.7
    Checking rand_xorshift v0.4.0
    Checking tinytemplate v1.2.1
    Checking is-terminal v0.4.17
    Checking scoped-tls v1.0.1
    Checking testcontainers v0.27.3
    Checking anes v0.1.6
    Checking unarray v0.1.4
    Checking oorandom v11.1.5
    Checking proptest v1.11.0
    Checking criterion v0.5.1
    Checking loom v0.7.2
    Checking testcontainers-modules v0.15.0
   Compiling darling_core v0.20.11
   Compiling proc-macro2-diagnostics v0.10.1
    Checking inout v0.1.4
    Checking phf_shared v0.12.1
   Compiling proc-macro-error-attr2 v2.0.0
   Compiling chrono-tz v0.10.4
   Compiling proc-macro-error2 v2.0.1
    Checking phf v0.12.1
    Checking cipher v0.4.4
   Compiling tokio-cron-scheduler v0.15.1
   Compiling maud_macros v0.27.0
    Checking blowfish v0.9.1
    Checking crossbeam-channel v0.5.15
   Compiling num-derive v0.4.2
   Compiling darling_macro v0.20.11
   Compiling darling v0.20.11
   Compiling derive_builder_core v0.20.2
   Compiling validator_derive v0.20.0
   Compiling derive_builder_macro v0.20.2
    Checking derive_builder v0.20.2
    Checking croner v3.0.1
    Checking toml_datetime v1.1.1+spec-1.1.0
